## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,1.000000,1.000000,Results,9.095354,1.699342,6
## Dist,x, P(X=x), P(X<=x)
Dist,1.000000,0.024236,0.033838
Dist,2.000000,0.049122,0.082960
Dist,3.000000,0.092298,0.175258
Dist,4.000000,0.164081,0.339339
Dist,5.000000,0.261816,0.601155
Dist,6.000000,0.325270,0.926425
Dist,7.000000,0.073575,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainToViareggio,384.000000,384.000000,Results,6.677901,2.107176,8
## Dist,x, P(X=x), P(X<=x)
Dist,5.000000,0.207533,0.207533
Dist,6.000000,0.340967,0.548500
Dist,7.000000,0.213171,0.761671
Dist,8.000000,0.120400,0.882072
Dist,9.000000,0.065011,0.947083
Dist,10.000000,0.033059,0.980142
Dist,11.000000,0.014957,0.995098
Dist,12.000000,0.004902,1.000000

